"debate_title","motion_text"
"Charge for financial year 2015","I beg to move amendment 2, page 3, line 28, at end insert— ‘( ) The Chancellor of the Exchequer shall undertake a review, within six months of the passing of this Act, on the impact of an additional cut of one per cent to the main rate of Corporation Tax for financial year 2015-16, with particular reference to— (a) the impact on businesses with fewer than 50 employees; (b) the impact on investment by businesses with fewer than 50 employees; and (c) alternative tax measures, including non-domestic rates, which would have a greater benefit for businesses with fewer than 50 employees."
"New Report on increasing the additional rate of income tax to 50%","I beg to move, That the clause be read a Second time."
"New Childcare provision","I beg to move, That the clause be now read a Second time."
"Tax relief for married couples and civil partners","I beg to move amendment 3, in page 8, line 25, at end insert— ‘55F Review (1) Within six months of the passing of the Finance Act 2014, the Chancellor of the Exchequer must undertake a review of the impact of the tax relief for married couples and civil partners introduced under this Chapter."
"New Bank payroll tax","I beg to move, That the clause be read a Second time."
"Section 5 of the European Communities (Amendment) Act 1993","I beg to move, That this House approves, for the purposes of Section 5 of the European Communities (Amendment) Act 1993, the Government’s assessment as set out in Budget 2014 and Autumn Statement 2013, combined with the Office for Budget Responsibility’s Economic and Fiscal Outlook (2014) and Fiscal Sustainability Report (2013), which forms the basis of the United Kingdom’s Convergence Programme."
"Removal of restriction on standing for election for both constituency and electoral region","I beg to move amendment 15, page 2, line 33, at end add— ‘(5) The Secretary of State shall make arrangements for an independent review of the— (a) likely and possible impacts on the effectiveness of the Assembly of the removal of the restriction on standing for both constituency and electoral region. In particular, the review shall examine the implications for the desirable total number of Assembly members and the proportions elected by each route; and (b) advantages and disadvantages of amalgamating the five Assembly electoral regions into one for the whole of Wales."
"Taxation: introductory","I beg to move amendment 32, in page 6, line 20, after ‘description’, insert ‘, a tax credit of any description’."
"Borrowing by the Welsh Ministers","I beg to move amendment 36, in clause 19, page 21, line 18, leave out ‘, with the approval of the Treasury,’."
"Smoke Alarms (Private Rented Sector)","I beg to move, That leave be given to bring in a Bill to require the Secretary of State to make provision for the mandatory installation of smoke alarms in privately rented accommodation; and for connected purposes."
"Deprivation if conduct seriously prejudicial to vital interests of the uk","I beg to move, That this House disagrees with Lords amendment 18."
"Child trafficking guardians for all potential child victims of trafficking in human beings","I beg to move, That this House disagrees with Lords amendment 16."
"Secure colleges and other places for detention of young offenders etc","I beg to move amendment 18, page 19, line 4, leave out clause 19."
"Prohibition of Unpaid Internships","I beg to move, That leave be given to bring in a Bill to prohibit unpaid internships; and for connected purposes."
"Jobs and Work","I beg to move an amendment, at the end of the Question to add: “but regret that the measures in the Gracious Speech fail to ensure that those who put in a hard day’s work get a decent reward for doing so, or cut the costs to the social security system resulting from the current record 5.2 million workers on low pay and the rising tide of insecurity at work; and call on your Government to bring forward measures setting the Low Pay Commission a five year target to raise the National Minimum Wage faster than average earnings while retaining the capacity to take account of shocks to the economy.”."
"Schedule 2		Consumer contract terms which may be regarded as unfair","I beg to move amendment 1, page 51, line 9, at end insert— “1A A term which requires a consumer to pay a charge for, or be liable for, an element of a good or service that another party has also been charged for in the course of the same transaction.” With this it will be convenient to discuss the following: Amendment 2, page 51, line 15, at end insert— “2A A term which relies upon any bill of sale, as defined in section 3 (Construction of Act) of the Bills of Sale Act (1878) Amendment Act 1882, to reduce the level of consumer protection in relation to contracts concerning consumer credit.” Amendment 3, page 51, line 18, at end insert— “3A A term that directly causes financial detriment to the consumer such that it can reasonably be seen to alter the capacity of the consumer to pay the costs of the contract, where the contract is for a financial service.” Amendment 4, page 53, line 2, at end insert— “20A A term which either— (a) requires or encourages a consumer to contract third party services without informing them of their right to seek independent advice; or (b) seeks to limit a consumer’s access to independent advice regarding third party contracts where there is a potential conflict of interest for the third party involved.” Amendment 19, page 53, line 2, at the end insert— “20A A term which has the object or effect of permitting a trader to block, restrict or otherwise hinder the access of a consumer to any lawful electronic communications network or electronic communications service on the basis of an unreasonable or unusual definition of ‘internet access’, ‘data’, ‘webaccess’ or similar word or phrase. Nothing in this prohibition shall affect filters for the purpose of child protection. Electronic communications network or electronic communication service shall have the same meaning as in the Communications Act 2003.” Amendment (a) to amendment 19,  after “trader”, insert “engaged in the provision of fixed broadband internet access or mobile internet services.” I shall speak to all the amendments in the group, which are about unfair contract terms. Unfairness is such a central concept to British values, I will wager, that it provides an apt discussion point for this week alone. All the amendments deal with where a market is stacked against one party and, we would argue, both miss out as a result. When service providers exploit a lack of information or collude to distort behaviour, it is not just the public who are badly treated: competition is stifled, creativity and innovation are weakened and, above all, the consumer is ripped off. The amendments thus reflect some of the problems affecting markets that we see in Britain and deal with what more could be done to make a stronger consumer rights framework that would give the public the tools to be able to prevent rather than have to deal with the problems that come from these distorted behaviours. There are four different issues, but we consider them all to be part of the conflicts of interest that cause detriment to the consumer. Amendment 1 refers to what we call “double charging”, and particularly the behaviour of estate agents. We all know that buying a house is one of the biggest costs any of us will face in our lifetime. An English man or woman’s home is their castle, but it is often a very expensive one. The cost of buying a house has gone up so substantially in my constituency that it is now 30% more than it was a year ago—a source of extreme concern for many. Indeed, we know that the average home is worth eight times the average wage and that it can take 20 years for a family to save for a deposit. A million homes were bought in the UK last year, and prices have risen across the country by 8%, even if they have not risen as much as in some of our London areas. That is why the Governor of the Bank of England has warned that the biggest risk to the economy stems from the fact that people are getting mortgages—sometimes four or more times their salaries—that they cannot sustain. Housing is indeed a bubble underpinning our economy and leaving it in an incredibly precarious position. The Government’s housing Bill will provide 15,000 houses, but people in my constituency know that we need to double that and then some, which is why Labour are proposing to build 200,000 houses, getting us closer to where we need to get to in order to deal with the pressures that people are experiencing. This amendment speaks, too, to some of the other charges that people face when buying a property. We may disagree about how many houses need to be built, but I am sure we would all want the housing property market to be as fair and open as possible so that it does not involve more expenses that mean people needing an even higher mortgage or an even higher level of debt—particularly in the form of the personal loans that people are taking out to pay the sort of fees necessary when they start ownership of a new property. The amendment would deal with what the property ombudsman has called an “emerging commercial practice”—one that means that people such as estate agents, who benefit from the increase in demand for housing by exploiting the pressure on the country’s housing supply, reap the benefits. The practice involves a contract that we believe is ripping off consumers—both buyers and sellers—and therefore needs addressing. It is called “double charging” if the estate agent applies a fee to both the buyer and the seller of a property on the same transaction. Let me explain the problem for the benefit of Members who have not yet observed the practice in their constituencies. It often results from the process of “sale by informal tender”. House owners are asked to accept sealed bids for their properties. Increasingly, estate agents are then charging successful bidders a “finder’s fee”, which, in some cases, is between 2% and 2.5% of the property fee plus VAT. According to the Consumers Association, an estate agent’s commission should normally be between 1% and 2%. Moreover, sellers themselves are paying to market their properties. Buyers must find the cost of the additional fee in order to bid. When I challenged estate agents at Douglas Allen in Walthamstow about their behaviour, they admitted openly that they expected buyers to factor the introductory fee into their offers. Sellers do not benefit from the fee that is being offered. They do not gain the benefit of the additional sum that the buyers are paying for their asset—not the estate agent’s asset—but the estate agent does. That the sellers are paying for the privilege of the marketing of their houses in that way only compounds the scam that is affecting too many people in our country."
"Passport Applications","I beg to move, That this House expresses concern at the experience of constituents applying for passports at HM Passport Office, including lengthy delays and consequential cancellations of holidays and business visits; notes the Government’s response to the Urgent Question from the right hon. Member for Normanton, Pontefract and Castleford of 12 June 2014, setting out emergency measures to deal with the passport backlog after an increase in demand; further notes that HM Passport Office is taking over responsibility for issuing an estimated 350,000 passports to citizens overseas from the Foreign and Commonwealth Office this year; believes that the Government failed to properly plan to meet the level of demand this year; calls on the Government to expand its emergency measures by compensating passport applicants who had to pay for urgent upgrades in recent weeks because of internal delays with HM Passport Office; and further calls for the Secretary of State for the Home Department to publish monthly figures for passport applications from within the UK and abroad compared to previous years to monitor performance at HM Passport Office."
"Schedule 15		Schools: reduction of burdens","I beg to move, That the Bill be now read the Third time."
"New Infrastructure guarantees in Wales","I beg to move, That the clause be read a Second time."
"Removal of restriction on standing for election for both constituency		and electoral region","I beg to move amendment 13, page 1, line 9, leave out clause 2."
"Private Rented Sector","I beg to move, That this House recognises the private rented sector’s growing role in meeting housing need; notes that there are nine million people, including more than one million families with more than two million children, now renting privately; notes with concern the lack of stability and certainty that the sector provides to those who rent privately; further notes the increasing cost of renting and the unreasonable letting agent fees levied on tenants; calls on the Government to bring forward legislative proposals to reform the sector by banning letting agent fees being charged to tenants and making three year tenancies the standard for those who rent their homes in the private sector; and further calls on the Government to act on unpredictable rent rises by prohibiting excessive rent rises during longer-term tenancies."
"DWP: Performance","I beg to move, That this House notes that after £612 million being spent, including £131 million written off or written down, the introduction of Universal Credit is now years behind schedule, with no clear plan for how, when, or whether full implementation will be achievable or represent value for money; further notes the admission of the Minister of State for Disabled People in oral evidence to the Work and Pensions Committee on 11 June 2014 that over 700,000 people are still waiting for a Work Capability Assessment, and the report of the Office for Budget Responsibility in March 2014 that found that projected spending on Employment and Support Allowance has risen by £800 million since December; recognises the finding of the Committee of Public Accounts in its First Report, HC 280, that Personal Independence Payment delays have created uncertainty, stress and financial costs for disabled people and additional budgetary pressures for Government; further recognises that the Work Programme has failed to meet its targets, the unfair bedroom tax risks costing more than it saves, and other DWP programmes are performing poorly or in disarray; and calls on the Government to publish (a) the risk register and other documentation relating to the delivery of Universal Credit as a Freedom of Information tribunal has ruled it should, (b) the time in which it will guarantee that disabled people will receive an assessment for PIP and (c) a full risk assessment showing the potential impact of delays, delivery problems, contract failures and underperformance on (i) people receiving or entitled to benefits, (ii) departmental budgets and spending plans and (iii) the Government’s welfare cap."
"New Report on the additional rate of income tax","I beg to move, That the clause be read a Second time."
"New Capital gains tax and employee shareholders","I beg to move, That the clause be read a Second time."
"New Report on tax advantages arising from tax arrangements that are abusive","I beg to move, That the clause be read a Second time."
"New Review of reform to the annual investment allowance","I beg to move, That the clause be read a Second time."
"New Oil contractor activities: ring-fence trade etc","I beg to move, That the clause be read a Second time."
"Schedule 33		Companies owned by employee-ownership trusts","I beg to move, That the Bill be now read a Third time."
"Housing Supply","I beg to move, That this House notes that the Government has failed to tackle the acute housing shortage which is central to the cost of living crisis and over the last four years has presided over the lowest level of new homes being built in peacetime since the 1920s and the lowest number of homes for social rent being built in at least 20 years; further notes the recent reports that housing starts are forecast to fall this year with a large fall in affordable housing starts; and calls on the Government to tackle the housing shortage and commit to increasing house building to at least 200,000 homes a year by 2020, including by boosting housing supply by creating a Help to Build scheme for small and medium-sized builders alongside a reformed Help to Buy, by reforming the development industry and introducing measures to tackle land banking, by bringing forward plans to deliver a new generation of new towns and garden cities and by giving local authorities a new right to grow to deliver the homes their communities need."
"Data Retention and Investigatory Powers Bill","I beg to move, That the Bill be now read a Second time."
"Commencement, duration, extent and short title","I beg to move amendment 3, page 6, line 41, at end insert “and is subject to a reporting requirement as set out in subsection (1A)."
"New Effect and justiciability of this Act","I beg to move, That the clause be read a Second time."
"New Half-yearly reports by the Interception of Communications Commissioner","I beg to move, That the Bill be now read a Third time."
"Energy Company Licence Revocation","I beg to move, That this House believes that consumers have a right to be treated fairly and be confident that energy companies will meet their obligations and provide good services; further believes that where companies breach these obligations, decisive action should be taken to put things right and prevent further breaches; notes that since 2001 Ofgem has imposed at least 31 fines totalling at least £90 million; further notes that despite these financial penalties energy companies face another 11 investigations with four additional cases at informal review stage; further notes that the regulator already has the power to revoke energy companies’ licences in certain limited circumstances, but not where energy companies comply with a penalty notice and then commit further breaches of their licence; and therefore calls on the Government to provide the energy regulator for Great Britain with a new statutory power to revoke energy companies’ licences where there are repeated instances of the most serious and deliberate breaches of their licence conditions which harm the interests of consumers."
"Infant Class Sizes","I beg to move, That this House notes that the number of infants taught in classes of over 30 has risen by 200 per cent since 2010, to over 93,000 children; also notes that the Government relaxed the rules on infant class sizes; further notes that the Conservative Party manifesto in 2010 pledged to create small schools with smaller class sizes; believes that the Government’s decision to prioritise capital spending in areas without shortages of places through the free school programme has led to chronic pressures on primary school places and has created classes of more than 70 pupils; and believes that capital spending for school places should be prioritised to areas with the greatest pressures on places."
"Affordable Homes Bill","I beg to move, That the Bill be now read a Second time."
"Regulatory Reform","I beg to move, That the draft Legislative Reform (Clinical Commissioning Groups) order 2014, which was laid before this House on 13 March 2014, in the last Session of Parliament, be approved."
"Iraq: Coalition Against ISIL","I beg to move, That this House condemns the barbaric acts of ISIL against the peoples of Iraq including the Sunni, Shia, Kurds, Christians and Yazidi and the humanitarian crisis this is causing; recognises the clear threat ISIL poses to the territorial integrity of Iraq and the request from the Government of Iraq for military support from the international community and the specific request to the UK Government for such support; further recognises the threat ISIL poses to wider international security and the UK directly through its sponsorship of terrorist attacks and its murder of a British hostage; acknowledges the broad coalition contributing to military support of the Government of Iraq including countries throughout the Middle East; further acknowledges the request of the Government of Iraq for international support to defend itself against the threat ISIL poses to Iraq and its citizens and the clear legal basis that this provides for action in Iraq; notes that this motion does not endorse UK air strikes in Syria as part of this campaign and any proposal to do so would be subject to a separate vote in Parliament; accordingly supports Her Majesty’s Government, working with allies, in supporting the Government of Iraq in protecting civilians and restoring its territorial integrity, including the use of UK air strikes to support Iraqi, including Kurdish, security forces’ efforts against ISIL in Iraq; notes that Her Majesty’s Government will not deploy UK troops in ground combat operations; and offers its wholehearted support to the men and women of Her Majesty’s armed forces."
"National Minimum Wage","I beg to move, That this House notes that the value of the National Minimum Wage has been eroded since 2010 as working people have been hit by the cost-of-living crisis and are on average £1,600 a year worse off; recognises that the fall in the real value of the minimum wage since 2010 is now costing the public purse £270 million a year in additional benefit and tax credit payments; further notes that the Chancellor of the Exchequer cruelly misled working people by saying he wanted to see a minimum wage of £7 while the Government has no plans to reach this goal; calls on the Government to set an ambitious target for the National Minimum Wage to significantly increase to 58 per cent of median average earnings, putting it on course to reach £8 before the end of the next Parliament; supports action to help and encourage more firms to pay a living wage through “make work pay” contracts to boost living standards and restore the link between hard work and fair pay so that everyone shares in the UK’s wealth, not just a few at the top; and further calls on the Government to set a national goal of halving the number of people on low pay by 2025."
"NHS Services (Access)","I beg to move, That this House notes comments from leading experts that the NHS and social care services are at breaking point; believes that this is linked to the Government’s decision to reorganise the NHS; further notes that one senior Cabinet minister has said that reorganising the NHS was the Government’s biggest mistake; further believes that the NHS reorganisation has wasted money which could have been spent on frontline care; further believes that access to NHS services is now deteriorating and that staff numbers are not keeping pace with demand; notes the report by the Nuffield Trust, entitled Cause for Concern: Quality Watch annual statement 2014, published in October 2014, which found that it is now becoming harder to access care in many settings, with some people facing extreme waits; calls on the Government to act swiftly to reverse the deterioration in accident and emergency, cancer and referral to treatment waiting times; further calls on the Government to publish its independent evidence on the costs of reorganising the NHS; and further calls on the Government to match the Labour Party’s plans to raise an extra £2.5 billion to invest in building the NHS workforce of the future."
"The Chairman of Ways and Means took the Chair as Deputy Speaker (Standing Order No. 3)		European Union (Referendum) Bill","I beg to move, That the Bill be now read a Second time."
"Responsibility","I beg to move amendment 2, page 1, line 12, leave out “generally”."
"Repeal of the Fixed-term Parliaments Act 2011","I beg to move, That this House believes that the Government should bring forward proposals to repeal the Fixed-term Parliaments Act 2011."
"How an MP becomes subject to a recall petition process","I beg to move amendment 1, in clause 1, page 1, line 3, leave out from “becomes” to end of Clause and insert— “the subject of a recall referendum where— (a) a notice of intent to recall, signed by a number of persons not less than the effective number (5% of persons in member’s parliamentary constituency entitled to vote), in accordance with section (Notice of intent to recall) of this Act, has been deposited with a petition officer, and (b) 20% of persons entitled to vote have then validly signed a recall petition in accordance with section (Notice of intent to recall) of this Act."
"Parliamentary Under-Secretary of State for Welfare Reform (Disabled People)","I beg to move, That this House notes the comments of the Parliamentary Under-Secretary of State for Welfare Reform, Lord Freud, on 30 September 2014 that the work of disabled people is not worth the minimum wage; believes that these comments have further undermined trust among disabled people in this Government’s policies, a trust which had already been damaged by delays in assessments for a personal independence payment, problems with work capability assessments, and the poor performance of policies aimed at helping disabled people into work; further notes that the conduct of Lord Freud had already damaged that trust through his oversight of the housing benefit social sector size criteria which has had a particularly severe impact on disabled people, many of whom have nowhere else to move to and need extra room for medical equipment or carers; and therefore concludes that this House has no confidence in the Parliamentary Under-Secretary of State for Welfare Reform; and calls on the Prime Minister to dismiss him."
"Railways (Public Sector Operators)","I beg to move, That leave be given to bring in a Bill to amend the Railways Act 1993 to permit public sector railway operators; and for connected purposes."
"International Development (Official Development Assistance Target) Bill (Money)","I beg to move, That, for the purposes of any Act resulting from the International Development (Official Development Assistance Target) Bill, it is expedient to authorise any expenditure incurred under or by virtue of the Act by a Minister of the Crown or Government Department."
"Abortion (Sex-Selection)","I beg to move, That leave be given to bring in a Bill to clarify the law relating to abortion on the basis of sex-selection; and for connected purposes."
"New Offence of child exploitation","I beg to move, That the clause be read a Second time."
"New Enabling provision to enable the Gangmasters Licensing Authority to tackle modern day slavery","I beg to move, That the clause be read a Second time."
"Income Tax","I beg to move, That this House believes it is a mistake to reduce the top rate of income tax at a time when working people, who are on average £1,600 a year worse off since 2010, are not feeling the recovery and while the deficit also remains high; notes that figures from the Institute for Fiscal Studies show that, by next year, households will be on average £974 a year worse off because of tax and benefit changes since 2010; believes that a fair plan to balance the books would reverse the cut in the top rate of income tax, which is worth £3 billion a year for the top one per cent of earners, for the next Parliament, and introduce a lower 10p starting rate of tax; and calls on the Government to rule out a further reduction in the top rate of income tax on earnings over £150,000 a year."
"Local Bus Services","I beg to move, That this House recognises that buses are an important tool to promote economic growth; regrets that, outside London, bus use is in decline; notes that since 2010 1,300 bus routes have been lost; further notes that since 2010 bus fares have risen five times faster than wages; further regrets that deregulation of the bus industry removed the ability of local authorities to co-ordinate their public transport networks; and calls on the Government to ensure that city and county regions are able to make use of London-style powers to develop more integrated, frequent, cheaper and greener bus services with integrated Oyster card-style ticketing."
"Off-patent Drugs Bill","I beg to move, That the Bill be now read a Second time."
"Business of the House (Today)","I beg to move, That, notwithstanding the provisions of Standing Order No. 16 (Proceedings under an Act or on European Union documents), debate on the Motion in the name of Secretary Theresa May relating to Criminal Law may continue until 10.00pm, at which time the Speaker shall put the Question, if it has not already been decided."
"Criminal Law","I beg to move, That the draft Criminal Justice and Data Protection (Protocol No. 36) Regulations 2014, which were laid before this House on 3 November, be approved."
"New Proposals relating to three and four year olds","I beg to move, That the clause be read a Second time."
"New Review of impact on childcare costs","I beg to move, That the clause be read a Second time."
"Amount of financial penalty for underpayment of national minimum wage","I beg to move amendment 8, page 134, line 4, at end insert— ‘(6A) The Secretary of State shall provide an annual report to Parliament on the effectiveness of— (a) enforcement of the national minimum wage; (b) the level of the financial penalty for underpayment, including but not limited to its impact on compliance; and (c) changes in provisions relating to the national minimum wage improving other measures of pay in the labour market.” With this it will be convenient to discuss the following: Amendment 9, in clause 145, page 134, line 27, at end insert— ‘(3A) The Secretary of State shall make regulations containing provisions and measures enabling and facilitating the enforcement by workers of the rights conferred under this section. Those regulations shall be laid before each House of Parliament in draft before being made, subject to affirmative resolution procedure.” Amendment 10, page 134, line 36, at end insert— ‘(1A) Regulations made under section 27B, subsection (1), shall include provisions— (a) giving zero hours workers the right to be awarded financial compensation of amounts, and in circumstances, to be determined by the Secretary of State; (b) giving employment tribunals powers to enforce their adjudications, including the award of any applicable compensation as referred to in section (1A)(a), or imposition of any applicable penalty, in cases involving zero hours workers; and (c) imposing an obligation on an employer to offer a fixed hours contract when a worker has worked regular hours for a continuous period, or series of continuous periods, of employment, to be determined by the Secretary of State.” Government amendments 61 to 64."
"[]		EU Justice and Home Affairs Measures","I beg to move, That this House endorses the Government’s formal application to rejoin 35 European Union Justice and Home Affairs measures, including the European Arrest Warrant."
"National Health Service (Amended Duties and Powers) Bill","I beg to move, That the Bill be now read a Second time."
"New Recall condition: method of petitioning an election court","I beg to move, That the clause be read a Second time."
"[10th alloted day]		The Economy","I beg to move, That this House believes the Government has failed to deliver rising living standards and a recovery that works for the many, with working people on average £1,600 a year worse off since 2010; notes that the Office for Budget Responsibility has said that stagnant wages and too many low-paid jobs are leading to lower tax revenues and more borrowing, with the Chancellor of the Exchequer’s pledge to balance the books by 2015 set to be broken; calls on the Government to bring forward a plan in the Autumn Statement to deliver a recovery for the many, not just a few at the top, with proposals for a minimum wage rising as a proportion of average earnings, an expansion of free childcare for working parents, a cut in business rates for small firms, an independent infrastructure commission, and the building of 200,000 new homes a year; believes that a tough and fair plan to deliver a current budget surplus and falling national debt as soon as possible in the next Parliament would include reversing the Government’s £3 billion a year tax cut for the top one per cent of earners and introducing tougher measures to tackle tax avoidance; and further believes that the Autumn Statement should use £1 billion of fines from the recent foreign exchange manipulation scandal for an immediate boost to health and care, and announce a £2.5 billion a year fund to help save and transform the NHS, including funding for an extra 20,000 nurses and 8,000 GPs."
"Government Policies (Wales)","I beg to move, That this House expresses deep concern at the impact of the Government’s policies on Wales; notes the Government’s real-terms reduction of the Welsh budget by £1.5 billion; notes that Wales currently suffers from the lowest average rates of pay in Britain and has the highest proportion of individuals affected by cuts to social security including the bedroom tax; further notes that Wales suffers the highest energy bills in the UK and that these, along with low pay, have compounded the cost of living crisis in Wales; and calls on the Government to immediately scrap the bedroom tax, freeze energy bills and undertake measures to increase pay rates in Wales."
"Likelihood of substantially different oucome for applicant","I beg to move, That this House disagrees with Lords amendment 97."
"Secure colleges and other places for detention of young offenders etc","I beg to move, That the House disagrees with Lords amendment 74."
"New Impact on Government revenues","I beg to move, That the clause be read a Second time."
"New The Independent Commission for Aid Impact","I beg to move, That the clause be read a Second time."
"Infrastructure Bill [Lords]","I beg to move, That the Bill be now read a Second time."
"Firefighters’ Pension Scheme (England)","I beg to move, That the Firefighters’ Pension Scheme (England) Regulations 2014 (S.I., 2014, No. 2848), dated 23 October 2014, a copy of which was laid before this House on 28 October, be revoked."
"Seizure of passports etc from persons suspected of involvement in terrorism","I beg to move amendment 29, page 1, line 8, at end insert— ‘(2) This section shall be repealed on 31 December 2016 unless both Houses of Parliament have passed a resolution that it should continue in force until a future date."
"General duty on specified authorities","I beg to move amendment 30, page 13, line 34, at end insert “and must also develop capacity to combat and reject the messages of extremism”."
"Food Banks","I beg to move, That this House notes that the number of people using food banks, according to the Trussell Trust, has increased from 41,000 in 2009-10 to 913,000 in 2013-14, of whom one third are children; recognises that over the last four years prices have risen faster than wages; further notes that low pay and failings in the operation of the social security system continue to be the main triggers for food bank use; and calls on the Government to bring forward measures to reduce dependency on food banks and tackle the cost of living crisis, including to get a grip on delays and administrative problems in the benefits system, and introduce a freeze in energy prices, a national water affordability scheme, measures to end abuses of zero hours contracts, incentives for companies to pay a living wage, an increase in the minimum wage to £8 an hour by the end of the next Parliament, a guaranteed job for all young people who are out of work for more than a year and 25 hours-a-week free childcare for all working parents of three and four year olds."
"Seizure of passports etc from persons suspected of involvement in terrorism","I beg to move amendment 9, page 1, line 8, at end insert— ‘(2) This section shall be repealed on 31 December 2016 unless both Houses of Parliament have passed a resolution that it should continue in force until a future date."
"Secondary Ticketing Platforms","I beg to move, That this House disagrees with Lords amendment 12."
"Charter for Budget Responsibility","I beg to move, That the Charter for Budget Responsibility: Autumn Statement 2014 update, which was laid before this House on 15 December 2014, be approved."
"Secure colleges and other places of detention for young offenders etc","I beg to move, That this House insists on its disagreement with Lords amendment 74 and proposes amendment (a) in lieu."
"Energy Prices","I beg to move, That this House notes the policy of the Opposition to freeze energy prices until 2017, ensuring that prices can fall but not rise; and calls on the Government to bring forward fast-track legislation immediately to put a statutory duty on the energy regulator for Great Britain to ensure that energy suppliers pass on price cuts to consumers when wholesale costs fall, if suppliers fail to act."
"Trident Renewal","I beg to move, That this House believes that Trident should not be renewed."
"Onshore Wind Turbine Subsidies (Abolition) Bill","I beg to move, That leave be given to bring in a Bill to provide for the prohibition of the use of public funds to subsidise the development of onshore wind turbines; and for connected purposes."
"National Health Service","I beg to move, That this House notes comments from leading experts that the NHS is under unprecedented levels of pressure and that this is putting patient care at risk; further notes that attendances at hospital A&E departments increased by 60,000 in the last four years of the previous Government and 600,000 in the first four years of the current Government; believes that this is linked to decisions taken by this Government, including cuts to adult social care, the abolition of NHS Direct, the closure of almost one in four walk-in centres and removing the GP access guarantee; and calls on the Government to match the Labour Party’s plans to raise an extra £2.5 billion a year for the NHS, funded by measures including a tax on properties worth over £2 million, to help ease the current pressure and ensure that the NHS is fit for the future."
"NHS (Government Spending)","I beg to move, That this House notes comments from leading doctors and nurses that the NHS is in crisis under this Government, which has wasted £3 billion on a reckless reorganisation; believes an extra £2.5 billion a year should be invested in the health service, including to fund an additional 20,000 nurses and 8,000 GPs, by raising additional revenue from closing tax loopholes, a levy on tobacco companies and a tax on properties worth over £2 million; further notes that the Office for Budget Responsibility has said that the Government’s spending plans in the Autumn Statement would return public spending to a share of national income last seen in the late 1930s, before there was an NHS, and a level which is incompatible with the Government’s claims to be able to protect the NHS; recognises that only four OECD countries have total government expenditure at 35 per cent or less of GDP and that all of these countries have significantly higher charging as a share of overall national health spending than in the UK; and calls on the Government to reconsider the plans set out in the Autumn Statement for even deeper spending cuts, which the head of the Institute for Fiscal Studies has said could involve a fundamental reimagining of the role of the state."
"Sustainable Development Goals","I beg to move, That this House recognises that 2015 is an historic year for development as the countries of the world come together to negotiate the binding climate change agreement at the 2015 United Nations Framework Convention on Climate Change and the Sustainable Development Goals; believes it is unacceptable that more than one billion people still live in extreme poverty on less than $1.25 a day; notes that the effects of climate change will be most severe in some of the world’s poorest countries; further recognises that the UK has a leading role to play in these negotiations; regrets that the Government failed to bring forward legislation to enshrine in law the commitment to spend 0.7 per cent of Gross National Income on international aid as set out in the Coalition Agreement; further regrets that this Government has failed to support standalone Sustainable Development Goals on health and climate change; and calls on the Government to show global leadership on tackling the causes of poverty inequality and climate change."
"Human Fertilisation and Embryology","I beg to move, That the draft Human Fertilisation and Embryology (Mitochondrial Donation) Regulations 2015, which were laid before this House on 17 December 2014, be approved."
"Apprenticeships","I beg to move, That this House believes that more high-quality apprenticeships are essential to the future prospects of young people and future success of the economy; notes with concern that the number of 19 to 24-year-olds starting an apprenticeship has fallen by 6,270 in the last year, that 24 per cent of these apprentices are receiving no formal training, and around one in five are not receiving the appropriate minimum wage; calls on the Government to institute a ten-year national goal to grow the number of apprenticeships for young people and boost the standing and value of technical and vocational education so that the same number of young people that go to university undertake a high-quality apprenticeship; and further calls on the Government to use the money it already spends on procurement to require suppliers for large Government contracts to offer new apprenticeship opportunities, safeguard apprenticeship quality with new standards so that all apprenticeships are at at least level three and last a minimum of two years, ensure Government plays its part by creating thousands more apprenticeships in the civil service, give city and country regions a role by devolving money for adult skills and give a central role to business through sector bodies to drive up standards and increase apprenticeship places."
"Electoral Registration","I beg to move, That this House recognises the importance of a complete and accurate electoral register to the health of our democracy; welcomes the fact that 1.8 million voters have registered using online registration, but notes that, according to the Electoral Commission, 7.5 million eligible voters are missing from the register; notes with concern that an estimated one million voters have left the register in the past year and that the shift to individual electoral registration could see millions more fall off the register; calls on the Government and the Electoral Commission to do more to tackle under-registration, including block-registering students in university or college accommodation and people living in adult sheltered accommodation and care homes, introducing a schools registration scheme, on the model of the Northern Ireland Schools Initiative, to boost registration in time for the General Election on 7 May 2015, and maximising the use of national and local data sets in securing a complete register; and further calls on the Government to set a clear goal to reduce the numbers of missing voters and to delay fully implementing individual electoral registration until this goal is met."
"Police","I beg to move, That the Police Grant Report (England and Wales) for 2015–16 (HC 930), which was laid before this House on 4 February, be approved."
"Local Government Finance","I beg to move, That the Local Government Finance Report (England) 2015–16 (HC 1013), which was laid before this House on 3 February, be approved."
"Compulsory Jobs Guarantee","I beg to move, That this House calls on the Government to put a strict limit on the amount of time that people can be left on jobseeker’s allowance without being offered, and required to take up, paid work, by introducing a compulsory jobs guarantee that would ensure that anyone under 25 who has been receiving jobseeker’s allowance for a year, and anyone over 25 who has been receiving jobseeker’s allowance for two years, would be offered a paid job, with training, that they must take up or face losing benefits; and further calls on the Government to ensure this compulsory jobs guarantee be fully funded by a one-off repeat of the tax on bankers’ bonuses and restricting pension tax relief on incomes over £150,000."
